date,month,year,quarter,is_weekend
2025-01-01,Jan,2025,Q1,0
2025-01-02,Jan,2025,Q1,0
2025-01-03,Jan,2025,Q1,0
2025-01-04,Jan,2025,Q1,1
2025-01-05,Jan,2025,Q1,1
2025-01-06,Jan,2025,Q1,0
2025-01-07,Jan,2025,Q1,0
2025-01-08,Jan,2025,Q1,0
2025-01-09,Jan,2025,Q1,0
2025-01-10,Jan,2025,Q1,0
2025-01-11,Jan,2025,Q1,1
2025-01-12,Jan,2025,Q1,1
2025-01-13,Jan,2025,Q1,0
2025-01-14,Jan,2025,Q1,0
2025-01-15,Jan,2025,Q1,0
2025-01-16,Jan,2025,Q1,0
2025-01-17,Jan,2025,Q1,0
2025-01-18,Jan,2025,Q1,1
2025-01-19,Jan,2025,Q1,1
2025-01-20,Jan,2025,Q1,0
2025-01-21,Jan,2025,Q1,0
2025-01-22,Jan,2025,Q1,0
2025-01-23,Jan,2025,Q1,0
2025-01-24,Jan,2025,Q1,0
2025-01-25,Jan,2025,Q1,1
2025-01-26,Jan,2025,Q1,1
2025-01-27,Jan,2025,Q1,0
2025-01-28,Jan,2025,Q1,0
2025-01-29,Jan,2025,Q1,0
2025-01-30,Jan,2025,Q1,0
2025-01-31,Jan,2025,Q1,0
2025-02-01,Feb,2025,Q1,1
2025-02-02,Feb,2025,Q1,1
2025-02-03,Feb,2025,Q1,0
2025-02-04,Feb,2025,Q1,0
2025-02-05,Feb,2025,Q1,0
2025-02-06,Feb,2025,Q1,0
2025-02-07,Feb,2025,Q1,0
2025-02-08,Feb,2025,Q1,1
2025-02-09,Feb,2025,Q1,1
2025-02-10,Feb,2025,Q1,0
2025-02-11,Feb,2025,Q1,0
2025-02-12,Feb,2025,Q1,0
2025-02-13,Feb,2025,Q1,0
2025-02-14,Feb,2025,Q1,0
2025-02-15,Feb,2025,Q1,1
2025-02-16,Feb,2025,Q1,1
2025-02-17,Feb,2025,Q1,0
2025-02-18,Feb,2025,Q1,0
2025-02-19,Feb,2025,Q1,0
2025-02-20,Feb,2025,Q1,0
2025-02-21,Feb,2025,Q1,0
2025-02-22,Feb,2025,Q1,1
2025-02-23,Feb,2025,Q1,1
2025-02-24,Feb,2025,Q1,0
2025-02-25,Feb,2025,Q1,0
2025-02-26,Feb,2025,Q1,0
2025-02-27,Feb,2025,Q1,0
2025-02-28,Feb,2025,Q1,0
2025-03-01,Mar,2025,Q1,1
2025-03-02,Mar,2025,Q1,1
2025-03-03,Mar,2025,Q1,0
2025-03-04,Mar,2025,Q1,0
2025-03-05,Mar,2025,Q1,0
2025-03-06,Mar,2025,Q1,0
